time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-03-20T04:48:36.720Z,18.0338,-66.9683,1,1.91,md,3,184,0.0995,0.29,pr,pr2019079004,2019-03-20T07:55:47.514Z,"2km WSW of Liborio Negron Torres, Puerto Rico",earthquake,3.47,2.19,0.08,3,reviewed,pr,pr
2019-03-20T04:27:57.630Z,37.3078,-117.4892,8.3,1.3,ml,9,122.85,0.146,0.164,nn,nn00680449,2019-03-20T17:56:38.984Z,"49km SSW of Goldfield, Nevada",earthquake,,2.6,0.36,6,reviewed,nn,nn
2019-03-20T04:25:01.810Z,38.8235016,-122.8566666,2.36,0.32,md,8,144,0.004041,0.04,nc,nc73154421,2019-03-20T04:42:02.256Z,"10km WNW of The Geysers, CA",earthquake,0.68,1.05,0.24,2,automatic,nc,nc
2019-03-20T04:22:26.350Z,33.3471667,-116.8851667,10.75,0.59,ml,19,56,0.01991,0.12,ci,ci38277855,2019-03-20T13:21:26.061Z,"2km WSW of Palomar Observatory, CA",earthquake,0.23,0.48,0.157,14,reviewed,ci,ci
2019-03-20T04:19:43.361Z,69.2589,-144.9675,5.4,1.9,ml,,,,1.29,ak,ak0193mpybn7,2019-03-20T04:31:57.833Z,"110km SSW of Kaktovik, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-03-20T04:15:20.310Z,38.8069992,-122.8293304,0.97,0.88,md,7,111,0.00187,0.04,nc,nc73154416,2019-03-20T04:31:02.196Z,"7km WNW of The Geysers, CA",earthquake,0.52,0.72,,1,automatic,nc,nc
2019-03-20T04:10:24.830Z,33.4778333,-116.7896667,3.9,1.73,ml,75,39,0.03558,0.23,ci,ci38277831,2019-03-20T13:22:50.740Z,"8km ENE of Aguanga, CA",earthquake,0.2,0.57,0.193,26,reviewed,ci,ci
2019-03-20T04:05:39.630Z,43.3565,-110.7846667,10.06,1.38,ml,7,127,0.106,0.07,mb,mb80338239,2019-03-20T14:22:21.150Z,"7km S of South Park, Wyoming",earthquake,0.47,0.89,0.142,8,reviewed,mb,mb
2019-03-20T03:39:46.210Z,37.5351667,-118.88,6.94,1.19,md,21,241,0.06808,0.04,nc,nc73154401,2019-03-20T17:17:02.688Z,"14km SE of Mammoth Lakes, CA",earthquake,0.72,0.82,0.238,18,reviewed,nc,nc
2019-03-20T03:30:25.140Z,36.0706667,-117.6783333,1.51,0.67,ml,7,91,0.08379,0.09,ci,ci38277815,2019-03-20T13:21:28.164Z,"24km E of Coso Junction, CA",earthquake,0.32,0.64,0.13,5,reviewed,ci,ci
2019-03-20T03:27:10.660Z,36.07,-117.681,2.07,1.37,ml,14,75,0.08161,0.2,ci,ci38277807,2019-03-20T03:37:42.650Z,"24km E of Coso Junction, CA",earthquake,0.32,0.52,0.241,18,automatic,ci,ci
